week_start_date,year,weekofyear,precipitation_amt_mm,reanalysis_precip_amt_kg_per_m2,reanalysis_sat_precip_amt_mm,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_precip_mm,pca_1,pca_2
2000-07-01,2000,26,25.41,0.07256942189920686,25.41,-1.3268055842559447,0.21219369825934623,32.5,-1.4151490702935607,-4.349940269169262,-0.05650870049298509
2000-07-08,2000,27,60.61,0.13506310158799537,60.61,-0.775546958322378,0.6723240685577333,34.0,-0.0034526628854475365,-5.097599618190283,-0.0030826919975832784
2000-07-15,2000,28,55.52,0.6296469174168846,55.52,-0.8574711126344231,0.6212498242124137,33.0,-0.2583416424421424,-8.670376855315041,-0.17238600079823402
2000-07-22,2000,29,5.6,-0.5315447749610215,5.6,-1.8192681934979853,0.0518130138218156,31.5,-0.43831628174460113,0.6325257384014367,-0.09612085093791384
2000-07-29,2000,30,62.76,-0.3195476097879587,62.76,-1.0597547265704765,0.6296469174168846,33.3,-1.3185254128699953,0.050271655251707355,0.12724843363909766
2000-08-05,2000,31,16.24,-2.2897025155915474,16.24,-2.013356532513218,0.3195476097879587,32.0,-0.940214709749602,14.260454426148922,-0.06733730579763078
2000-08-12,2000,32,89.37,-0.4535708460543835,89.37,-0.6636926378284319,0.7570234514382153,34.0,0.3195476097879587,5.528329533713497,0.19323763528596738
2000-08-19,2000,33,42.08,-0.7896159916597745,42.08,-1.115904979977345,-0.09335714550383105,33.0,-0.06564758655656414,6.739392768494644,0.24067220075019535
2000-08-26,2000,34,49.22,-1.4439240859642073,49.22,-0.775546958322378,2.068771935956908,34.0,0.6254428582078935,14.652405751773388,0.20689685229038574
2000-09-02,2000,35,53.65,-0.8475399758405717,53.65,-0.5555589554799826,1.2255032271206492,34.0,0.4307272992954556,14.779631579271005,0.13574410593138242
2000-09-09,2000,36,23.12,-1.8376384268780583,23.12,1.0417649647363973,1.6488734972429597,35.8,0.017264137687307658,31.69426525131477,0.07169257741580094
2000-09-16,2000,37,34.62,-1.6355759142706652,34.62,-0.14901385575389392,1.5973269903558722,34.5,-0.7118074446700533,17.524207510258805,0.1401444039288484
2000-09-23,2000,38,97.55,-1.7513257935060593,97.55,-0.027624761338707837,1.4246099838006048,36.0,0.8475399758405717,11.545598929916045,0.12931488159604337
2000-09-30,2000,39,95.89,-1.8014921444765468,95.89,-0.5395148104453106,1.115904979977345,34.0,0.037988351230282213,18.220485557032767,-0.1677018265312993
2000-10-07,2000,40,46.22,-0.8182347774917771,46.22,-0.940214709749602,0.7990827621351786,34.0,0.12461740794799805,6.643031647637054,0.06400975936778582
2000-10-14,2000,41,31.1,-0.6508373064444771,31.1,0.12113858572421711,0.5355255405186109,34.0,-1.4151490702935607,7.701570089757234,-0.11458259212793158
2000-10-21,2000,42,25.21,-1.1031259989152418,25.21,0.2369801672458942,1.2402686793182185,36.0,-0.15599995352913304,14.32800924602713,0.0452712053286277
2000-10-28,2000,43,49.25,-0.5717474060925252,49.25,0.5395148104453106,1.3436445351668829,34.6,0.037988351230282213,12.25911306429268,0.21167147921102394
2000-11-04,2000,44,67.64,-0.7073663495812149,67.64,0.027624761338707837,1.286274990788736,35.5,-1.148678182991897,10.09221676374061,0.036300710284474014
2000-11-11,2000,45,51.83,-0.7432996631500837,51.83,0.7478585947633022,1.1967475721392278,35.2,-0.8475399758405717,13.81376183837273,-0.010856606054718476
2000-11-18,2000,46,39.25,-1.7052153405409167,39.25,2.2036607795503134,1.767557034445665,36.4,-5.199337582605575,21.566853296836364,-0.315799340498606
2000-11-25,2000,47,55.91,-1.0537202406076733,55.91,0.1664935038008255,0.5636347168656255,36.5,-1.1827339604084899,22.626752205095833,-0.055286625448627495
2000-12-02,2000,48,20.65,-0.898074175914329,20.65,-0.6254428582078935,0.685366072511801,34.2,-0.6985257103450601,9.860003659999386,0.06275926901126909
2000-12-09,2000,49,24.53,-2.0990479713022037,24.53,0.5395148104453106,0.9840948669667636,34.0,-1.5973269903558722,21.110894599232072,-0.11966557467634659
2000-12-16,2000,50,111.06,0.19808928684734634,111.06,-1.006761111548614,-0.5078333092550698,33.8,0.19105200614617227,8.812278432848078,0.13908418254023344
2000-12-23,2000,51,3.9,-1.4058131562357747,3.9,0.7662523398591111,1.2553096009744404,35.0,-5.199337582605575,27.90105154454298,-0.0185753818545588
2001-01-01,2001,1,59.11,0.6212498242124137,59.11,-0.2978204305995092,0.3856923651377643,33.3,-0.24053264956697124,-7.991080868013652,0.0022865149253140917
2001-01-08,2001,2,69.85,-0.5963159355757974,69.85,-0.6897393318569752,0.5078333092550698,33.2,0.0518130138218156,6.361189313919025,0.016684051976307814
